"","county","agegp","edugp","ideal","intend","npop"
"16977",511422,"15-24","hs and above",1.47719339848667,1.10945680743833,3093.39369779268
"16978",511422,"25-34","primary and below",1.70966655658116,1.62531948536256,6959.24561564142
"16979",511422,"25-34","secondary",1.61764234760039,1.41972490651418,5773.14920905467
"16980",511422,"25-34","hs and above",1.55579023590742,1.15675571178663,2330.60517530391
"16981",511422,"35-49","primary and below",1.75883819429758,1.44168882783493,19248.692165204
"16982",511422,"35-49","secondary",1.67859352549285,1.23009297951416,15968.0485624938
"16983",511422,"35-49","hs and above",1.60949449244547,1.05291476273753,6446.25927230212
"16984",511423,"15-24","primary and below",1.81366679903347,1.6240488888064,10225.4628680881
"16985",511423,"15-24","secondary",1.76504664781641,1.4740772821219,6864.44433030004
"16986",511423,"15-24","hs and above",1.6683738322688,1.27982312699919,2461.09280161187
"16987",511423,"25-34","primary and below",1.91840407881994,1.84293570752376,7364.5717684798
"16988",511423,"25-34","secondary",1.86782003588362,1.59648361792768,4943.90264513093
"16989",511423,"25-34","hs and above",1.81459521410106,1.47430317751518,1772.52558638927
"16990",511423,"35-49","primary and below",1.97609231456982,1.66326733673611,25053.9792220359
"16991",511423,"35-49","secondary",1.89568090439749,1.45702081616007,16818.9594779992
"16992",511423,"35-49","hs and above",1.85308495610395,1.2741503217393,6030.06129996487
"16993",511424,"15-24","primary and below",1.8627277476367,1.78100081266609,4550.19844872723
"16994",511424,"15-24","secondary",1.69770125653092,1.59797095573899,4269.68260179357
"16995",511424,"15-24","hs and above",1.68659667502129,1.46566037738956,1313.1189494792
"16996",511424,"25-34","primary and below",1.9370276252343,1.97171385239999,3282.98636718097
"16997",511424,"25-34","secondary",1.83468167282327,1.74468624890459,3080.59306244082
"16998",511424,"25-34","hs and above",1.80158197862418,1.54335374284522,947.42057037821
"16999",511424,"35-49","primary and below",1.99261299265814,1.77104249340789,10076.6261906088
"17000",511424,"35-49","secondary",1.89571135544462,1.56409091975402,9455.41079485323
"17001",511424,"35-49","hs and above",1.82144488927847,1.44228264963162,2907.96301453796
"17002",511502,"15-24","primary and below",1.93255457827131,1.80651201512578,27934.0098018129
"17003",511502,"15-24","secondary",1.8297501071462,1.60539161830728,19990.1116237032
"17004",511502,"15-24","hs and above",1.77921013789226,1.47493506892164,17345.8785744839
"17005",511502,"25-34","primary and below",2.03573087495967,1.9580228995112,23217.7115328382
"17006",511502,"25-34","secondary",1.94917963552184,1.80469031773166,16615.0383880174
"17007",511502,"25-34","hs and above",1.86289707607661,1.55386091900914,14417.2500791443
"17008",511502,"35-49","primary and below",2.06634496569239,1.83756722900278,50728.0248476925
"17009",511502,"35-49","secondary",1.93562076195859,1.61664240278727,36301.9447028886
"17010",511502,"35-49","hs and above",1.92820949165177,1.43116322214475,31500.0304494189
"17011",511521,"15-24","primary and below",1.88734246457543,2.11245528126183,34077.6751425388
"17012",511521,"15-24","secondary",1.82506915491735,1.8248025388653,16163.2218463757
"17013",511521,"15-24","hs and above",1.7757438340589,1.64864645582527,5582.10301108551
"17014",511521,"25-34","primary and below",2.02230180847704,2.17481076212403,23904.3692247198
"17015",511521,"25-34","secondary",1.92668353132331,1.99102344601135,11337.9689565301
"17016",511521,"25-34","hs and above",1.87857884458377,1.79691987233146,3915.66181875009
"17017",511521,"35-49","primary and below",2.10433349241511,2.02495077262951,64929.6828101448
